event_id,source,source_name,tribe_arabic,tribe_english,region_arabic,region_english,region_key,lat,lon,year_ah,incorporation_mode,commander_arabic,commander_english,rebel_leader_arabic,rebel_leader_english,battle_site_arabic,battle_site_english,confidence,notes,evidence,cross_refs,is_cross_ref
T053,tabari,al-Ṭabarī,بنو كنانة,Banū Kināna,الشام,al-Shām,sham,33.5,36.3,12,SUBMISSION,خالد بن سعيد بن العاص,Khālid ibn Saʿīd ibn al-ʿĀṣ,,,,,0.7,Jarīr ibn ʿAbd Allāh from Banū Kināna sought permission to gather his scattered tribesmen and bring them under Muslim authority,كان جرير بن عبد الله ممن خرج مع خالد بن سعيد بن العاصي الى الشام | فاستأذن خالدا الى ابى بكر ليكلمه في قومه وليجمعهم له، وكانوا اوزاعا في العرب، وليتخلصهم,,False
T054,tabari,al-Ṭabarī,النمر وتغلب وإياد,al-Namir wa-Taghlib wa-Iyād,عين التمر,ʿAyn al-Tamr,iraq,32.47,43.6,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,عقة بن أبي عقة,ʿAqqa ibn Abī ʿAqqa,عين التمر,ʿAyn al-Tamr,0.9,"Major battle at ʿAyn al-Tamr where apostate Arab tribes allied with Persians were defeated by Khālid, with mass executions following",وبها يومئذ مهران بن بهرام جوبين في جمع عظيم من العجم، وعقه بن ابى عقه في جمع عظيم من العرب من النمر وتغلب واياد ومن لافهم | فاحتضنه فأخذه أسيرا، وانهزم صفه من غير قتال | وامر خالد بعقه وكان خفير القوم فضربت عنقه | وضرب اعناق اهل الحصن اجمعين وسبى كل من حوى حصنهم,,False
T055,tabari,al-Ṭabarī,بهراء وكلب وغسان وتنوخ والضجاعم,"Bahrāʾ, Kalb, Ghassān, Tanūkh, and al-Ḍajāʿim",دومة الجندل,Dūmat al-Jandal,sham,29.81,39.87,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,أكيدر بن عبد الملك والجودي بن ربيعة,Ukaydir ibn ʿAbd al-Malik and al-Jūdī ibn Rabīʿa,دومة الجندل,Dūmat al-Jandal,0.95,"Major battle at Dūmat al-Jandal where multiple tribes allied against Khālid. Clear subjugation through military conquest, execution of leaders, and taking of captives.",بعثوا الى أحزابهم من بهراء وكلب وغسان وتنوخ والضجاعم | فاقتتلوا، فهزم الله الجودي ووديعة على يدي خالد | اقبل خالد على الذين ارزوا الى الحصن فقتلهم حتى سد بهم باب الحصن | دعا خالد بالجودي فضرب عنقه، ودعا بالأسرى فضرب أعناقهم,,False
T056,tabari,al-Ṭabarī,كلب,Kalb,دومة الجندل,Dūmat al-Jandal,sham,29.81,39.87,12,MIXED,خالد بن الوليد,Khālid ibn al-Walīd,وديعة الكلبي,Wadīʿa al-Kalbī,دومة الجندل,Dūmat al-Jandal,0.9,"Kalb initially fought against Khālid but their prisoners were spared due to tribal alliance with Banū Tamīm, showing mixed outcome.",أخذ الأقرع بن حابس وديعة | الا أسارى كلب، فان عاصما والأقرع وبنى تميم قالوا: قد آمناهم، فاطلقهم لهم خالد | فقال عاصم بن عمرو: يا بنى تميم، حلفاؤكم كلب، آسوهم واجيروهم,,False
T057,tabari,al-Ṭabarī,ربيعة,Rabīʿa,العراق والجزيرة,al-ʿIrāq and al-Jazīra,iraq,33.5,43.0,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,,,المصيخ,al-Maṣīkh,0.8,Rabīʿa tribes allied with Persian forces against Muslims in anger over ʿUqqa's fate.,وانتظر روزبه وزرمهر بالمسلمين اجتماع من كاتبهما من ربيعه، وقد كانوا تكاتبوا واتعدوا | ونزل ربيعه بن بجير بالثنى وبالبشر في عسكر غضبا لعقه,,False
T058,tabari,al-Ṭabarī,تغلب واياد والنمر,"Taghlib, Iyād, and al-Namir",الفراض,al-Firāḍ,iraq,33.2,42.0,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,,,الفراض,al-Firāḍ,0.9,"Major battle at al-Firāḍ where these tribes supported Romans and Persians. Massive casualties reported (100,000 killed). Khālid had sworn to surprise Taghlib in their homeland.",واستمدوا تغلب واياد والنمر، فامدوهم، ثم ناهدوا خالدا | فقتل يوم الفراض في المعركة وفي الطلب مائه الف | وكانت على خالد يمين: ليبغتن تغلب في دارها,,False
T059,tabari,al-Ṭabarī,بنو تميم,Banū Tamīm,العراق,al-ʿIrāq,iraq,33.0,44.0,12,SUBMISSION,خالد بن الوليد,Khālid ibn al-Walīd,,,,,0.85,"Banū Tamīm appear to be allied with Muslim forces, intervening to save their tribal allies among Kalb prisoners.",فقال عاصم بن عمرو: يا بنى تميم، حلفاؤكم كلب، آسوهم واجيروهم | الا أسارى كلب، فان عاصما والأقرع وبنى تميم قالوا: قد آمناهم,,False
T060,tabari,al-Ṭabarī,بهراء وكلب وسليح وتنوخ ولخم وجذام وغسان,"Bahrāʾ, Kalb, Salīḥ, Tanūkh, Lakhm, Judhām, and Ghassān",الشام,al-Shām,sham,33.5,36.3,12,MIXED,خالد بن سعيد,Khālid ibn Saʿīd,,,زيزاء,Zayzāʾ,0.8,These Syrian Arab tribes initially mobilized with Romans against Khālid ibn Saʿīd but then dispersed and many entered Islam voluntarily.,ونفر اليهم من بهراء وكلب وسليح وتنوخ ولخم وجذام وغسان من دون زيزاء بثلاث | فلما دنا منهم تفرقوا واعروا منزلهم، فنزله ودخل عامه من كان تجمع له في الاسلام,,False
B001,baladhuri,al-Balādhurī,الأزد,al-Azd,عمان,ʿUmān,uman,25.62,56.27,11,SUBJUGATION,حذيفة بن محصن وعكرمة بن أبي جهل,Ḥudhayfa ibn Miḥṣan and ʿIkrima ibn Abī Jahl,لقيط بن مالك ذو التاج,Laqīṭ ibn Mālik Dhū l-Tāj,دبا,Dabā,0.95,"Primary Ridda rebellion in Oman. Al-Azd tribe apostatized under Laqīṭ ibn Mālik, were defeated militarily at Dabā with their leader killed and captives taken.",ارتدت الأزد وعليها لقيط بن مالك ذو التاج وانحازت إلى دبا | فوجه أبو بكر رضى الله عنه إليهم حذيفة بن محصن البارقي من الأزد، وعكرمة ابن أبى جهل | فواقعا لقيطا ومن معه فقتلاه وسبيا من أهل دبا سبيا,,False
B002,baladhuri,al-Balādhurī,ربيعة,Rabīʿa,البحرين,al-Baḥrayn,bahrayn,26.0,50.55,11,SUBJUGATION,العلاء بن الحضرمي,al-ʿAlāʾ ibn al-Ḥaḍramī,الحطم (شريح بن ضبيعة) والمنذر بن النعمان,al-Ḥuṭam (Sharīḥ ibn Ḍubayʿa) and al-Mundhir ibn al-Nuʿmān,جواثا,Jawāthā,0.9,"Major Ridda rebellion in Bahrain. Rabīʿa tribe apostatized with al-Ḥuṭam and al-Mundhir, besieged Muslims at Jawāthā fortress, eventually defeated with leaders killed.",ارتد من البحرين من ولد قيس بن ثعلبة بن عكابة مع الحطم | وارتد سائر من بالبحرين من ربيعة | فدلفت إليه ربيعة فخرج إليها بمن معه من العرب والعجم فقاتلها قتالا شديدا | ثم إن العلاء خرج بالمسلمين ذات ليلة فبيت ربيعة فقاتلوا قتالا شديدا وقتل الحطم,,False
B003,baladhuri,al-Balādhurī,بنو حنيفة,Banū Ḥanīfa,اليمامة,al-Yamāma,yamama,24.18,47.32,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,مسيلمة الكذاب,Musaylima al-Kadhdhāb,حديقة الموت,Ḥadīqat al-Mawt,1.0,"Most famous Ridda rebellion. Banū Ḥanīfa followed false prophet Musaylima, decisive battle at 'Garden of Death', Musaylima killed, major military campaign by Khālid.",فاتبعه بنو حيفة وغيرهم ممن باليمامة | بعث خالد بن الوليد بن المغيرة المخزومي إلى اليمامة وأمره بمحاربة الكذاب مسيلمة | ثم التقى الناس فكان أو من لقيهم الرجال بن عنفوة فقتله الله | وهزم أهل اليمامة فأتبعوهم يقتلونهم قتلا ذريعا | وقتل الله مسيلمة فى الحديقة,"W002, W012, W024, W026",False
B004,baladhuri,al-Balādhurī,بنو حنيفة,Banū Ḥanīfa,اليمامة,al-Yamāma,yamama,24.15,47.3,12,MIXED,خالد بن الوليد,Khālid ibn al-Walīd,مسيلمة,Musaylima,اليمامة,al-Yamāma,0.95,"Major battle against Musaylima followed by negotiated settlement through Mujāʿa's deception, ending with submission and zakāt collection",التقى المسلمون والمشركون، فولى المسلمون مدبرين حتى بلغوا الرحال | فهزم الله المشركين وقتل مسيلمة | قال مجاعة لخالد أن أكثر أهل اليمامة لم يخرجوا لقتالكم | فصالحه على نصف السبي ونصف الصفراء والبيضاء والحلقة والكراع | أسلم أهل اليمامة فأخذت منهم الصدقة | كان فتح اليمامة سنة اثنى عشرة,"T026, T028, T031, T051, W024, W026, W027",False
B005,baladhuri,al-Balādhurī,بنو أسد,Banū Asad,بزاخة,Buzākha,najd,27.5,43.5,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,طليحة بن خويلد,Ṭulayḥa ibn Khuwaylid,بزاخة,Buzākha,0.9,"Battle against false prophet Ṭulayḥa at Buzākha, resulting in his defeat and flight, later conversion to Islam",أمر خالدا أن يصمد لطليحة بن خويلد الأسدى، وكان قد أدعى النبوة وهو يومئذ ببزاخة | التقى المسلمون وعدوهم واقتتلوا قتالا شديدا | انهزم الناس وظهر المسلمون | هرب طليحة بن خويلد فدخل خباء له فاغتسل وخرج فركب فرسه وأهل بعمرة,,False
B006,baladhuri,al-Balādhurī,بنو فزارة,Banū Fazāra,بزاخة,Buzākha,najd,27.5,43.5,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,عيينة بن حصن,ʿUyayna ibn Ḥiṣn,بزاخة,Buzākha,0.85,"Banū Fazāra fought alongside Ṭulayḥa, their leader ʿUyayna was captured but pardoned by Abū Bakr",كان عيينة بن حصن ابن حذيفة بن بدر مع طلحة فى سبعمائة من بنى فزارة | فلما رأى سيوف المسلمين قد استحملت المشركين | وولى عن عسكره، منف انهزم الناس وظهر المسلمون | وأسر عيينة بن حصن فقدم به المدينة فحقن أبو بكر دمه وخلى سبيله,,False
B007,baladhuri,al-Balādhurī,بنو عامر بن صعصعة,Banū ʿĀmir ibn Ṣaʿṣaʿa,,,,,,12,SUBMISSION,هشام بن العاص,Hishām ibn al-ʿĀṣ,,,,,0.8,"Peaceful submission without battle, demonstrated Islam through adhān",بعث خالد بن الوليد هشام بن العاصي بن وائل السهمي... إلى بنى عامر بن صعصعة | فلم يقاتلوه وأظهروا الإسلام والأذان فانصرف عنهم,,False
B008,baladhuri,al-Balādhurī,بنو سليم,Banū Sulaym,جو قراقر,Jaww Qarāqir,najd,25.5,44.5,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,أبو شجرة عمرو بن عبد العزى,Abū Shajara ʿAmr ibn ʿAbd al-ʿUzzā,جو قراقر,Jaww Qarāqir,0.85,"Battle at Jaww Qarāqir, Khālid burned apostates, leader Abū Shajara later converted and met ʿUmar",أتى خالد جو قراقر، ويقال أتى النقرة وكان هناك جمع لبنى سليم عليهم أبو شجرة عمرو بن عبد العزى السلمى | فقاتلوه فاستشهد رجل من المسلمين ثم فض الله جمع المشركين | وجعل خالد يومئذ يحرق المرتدين | وأسلم أبو شجرة فقدم على عمر,,False
B009,baladhuri,al-Balādhurī,بنو تميم,Banū Tamīm,البطاح والبعوضة,al-Biṭāḥ wa-l-Baʿūḍa,najd,26.0,44.0,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,مالك بن نويرة,Mālik ibn Nuwayra,البطاح والبعوضة,al-Biṭāḥ wa-l-Baʿūḍa,0.9,"Controversial campaign against Banū Tamīm, execution of Mālik ibn Nuwayra who had been Prophet's zakāt collector",سار خالد إلى سن بالبطاح والبعوضة من بنى تميم فقاتلوه ففض جمعهم | وقتل مالك بن نويرة أخا متمم بن نويرة | فلما قبض صلى الله عليه وسلم خلى ما كان فى يده من الفرائض وقال: شأنكم بأموالكم يا بنى حنظلة | فأمر بهم فضربت أعناقهم وتولى ضرار ضرب عنق مالك,,False
B010,baladhuri,al-Balādhurī,كندة,Kinda,حضرموت,Ḥaḍramawt,hadramawt,15.8,48.5,12,SUBJUGATION,زياد بن لبيد,Ziyād ibn Labīd,الأشعث بن قيس,al-Ashʿath ibn Qays,النجير,al-Najayr,0.9,"Major revolt led by al-Ashʿath ibn Qays, ended with siege of al-Najayr fortress and his surrender",فانتقضت عليه كندة كلها إلا السكون فإنهم كانوا معه | فعرض لزياد ومعه فأصيب ناس من المسلمين ثم هزموهم | ففضا جمعه وأوقعا بأصحابه فقتلا منهم مقتلة عظيمة | ثم انهم لجأوا إلى النجير-وهو حصن لهم-فحصرهم المسلمون حتى جهدوا,"T046, T050, B029, W034, W035, W043, W046, W047, W048",False
B011,baladhuri,al-Balādhurī,خولان,Khawlān,اليمن,al-Yaman,yaman,15.35,44.2,12,MIXED,يعلى بن منية,Yaʿlā ibn Muniya,,,,,0.75,"Conflicting reports - either defeated in battle with spoils taken, or returned to Islam without fighting",وارتدت خولان باليمن فوجه أبو بكر إليهم يعلى بن منية | فظفر بهم وأصاب منهم غنيمة وسبابا | ويقال: لم يلق حربا فرجع القوم إلى الإسلام,,False
B012,baladhuri,al-Balādhurī,كندة,Kinda,اليمن,al-Yaman,hadramawt,15.8,48.5,11,SUBJUGATION,المهاجر بن أبي أمية وزياد بن لبيد,al-Muhājir ibn Abī Umayya and Ziyād ibn Labīd,الأشعث بن قيس,al-Ashʿath ibn Qays,النجير,al-Nujayr,0.95,Major siege of Kinda tribe at al-Nujayr fortress; al-Ashʿath eventually surrendered,فقاتلاهم قتالا شديدا | تحصنوا بالنجير فحاصراهم حتى جهدهم الحصار | ارتد الأشعث بن قيس الكندي فى ناس من كندة فحوصرا,,False
B013,baladhuri,al-Balādhurī,بنو عمرو بن معاوية,Banū ʿAmr ibn Muʿāwiya,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBJUGATION,زياد بن لبيد,Ziyād ibn Labīd,,,,,0.9,Night raid by Ziyād ibn Labīd against this Kindite sub-tribe,فجمع بنو عمرو بن معاوية جمعا | فبيتهم فأتى على أكثرهم وجعل بعضهم يقتل بعضا,,False
B014,baladhuri,al-Balādhurī,حضرموت,Ḥaḍramawt,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBJUGATION,زياد بن لبيد والمهاجر بن أبي أمية,Ziyād ibn Labīd and al-Muhājir ibn Abī Umayya,,,,,0.85,Ḥaḍramawt came to aid Kinda but were defeated,وكانت حضرموت أتت كندة منجدة لها فواقعهم زياد والمهاجر فظفرا بهم,,False
B015,baladhuri,al-Balādhurī,خولان,Khawlān,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBJUGATION,يعلى بن منية,Yaʿlā ibn Munayya,,,,,0.9,Khawlān tribe fought until they submitted and agreed to pay zakāt,وارتدت خولان فوجه إليهم أبو بكر يعلى بن منية فقاتلهم حتى أذعنوا وأقروا بالصدقة,,False
B016,baladhuri,al-Balādhurī,عنس,ʿAns,اليمن,al-Yaman,yaman,15.35,44.21,11,SUBJUGATION,قيس بن هبيرة المكشوح,Qays ibn Hubayra al-Makshūḥ,الأسود العنسي,al-Aswad al-ʿAnsī,صنعاء,Ṣanʿāʾ,0.95,Major false prophet movement; al-Aswad killed by assassination before main military action,فاتبعه عنس | وأخرج خالد بن سعيد بن العاصي عنها | ووضعوا فى بقية أصحاب العنسي السيف فلم ينجح إلا من أسلم منهم,,False
B017,baladhuri,al-Balādhurī,الأزد,al-Azd,عمان,ʿUmān,uman,25.62,56.27,11,SUBJUGATION,حذيفة بن محصن وعكرمة بن أبي جهل,Ḥudhayfa ibn Muḥṣin and ʿIkrima ibn Abī Jahl,لقيط بن مالك ذو التاج,Laqīṭ ibn Mālik Dhū al-Tāj,دبا,Dabbā,0.95,"Major battle at Dabbā; Azd leader killed, tribe later returned to Islam",ارتدت الأزد وعليها لقيط بن مالك ذو التاج | فواقعا لقيطا ومن معه فقتلاه وسبيا من أهل دبا سبيا | ثم أن الأزد راجعت الإسلام,,False
B018,baladhuri,al-Balādhurī,مهرة,Mahra,عمان,ʿUmān,uman,23.58,58.38,11,SUBMISSION,عكرمة بن أبي جهل,ʿIkrima ibn Abī Jahl,,,,,0.9,Mahra tribe submitted without fighting when ʿIkrima approached,وجمع قوم من مهرة بن حيدان جمعا فأتاهم عكرمة فلم يقاتلوه وأدوا الصدقة,,False
B019,baladhuri,al-Balādhurī,ربيعة,Rabīʿa,البحرين,al-Baḥrayn,bahrayn,26.0,50.55,11,SUBJUGATION,العلاء بن الحضرمي,al-ʿAlāʾ ibn al-Ḥaḍramī,الحطم (شريح بن ضبيعة),al-Ḥuṭam (Shurayḥ ibn Ḍubayʿa),جواثا,Jawāthā,0.95,Major siege at Jawāthā fortress; ended with night raid killing rebel leader al-Ḥuṭam,ارتد من البحرين من ولد قيس بن ثعلبة مع الحطم | فقاتلها قتالا شديدا | ثم إن العلاء خرج بالمسلمين ذات ليلة فبيت ربيعة فقاتلوا قتالا شديدا وقتل الحطم,,False
B020,baladhuri,al-Balādhurī,بنو حنيفة,Banū Ḥanīfa,اليمامة,al-Yamāma,yamama,24.18,47.32,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,مسيلمة الكذاب,Musaylima al-Kadhdhāb,حديقة الموت,Ḥadīqat al-Mawt,1.0,"Major battle at al-Yamāma against Musaylima and Banū Ḥanīfa, ended with conquest after heavy fighting and martyrdoms. Later negotiated peace through Mujāʿa ibn Murāra's deception.",بعث خالد بن الوليد بن المغيرة المخزومي إلى اليمامة وأمره بمحاربة الكذاب مسيلمة | فلما شارفها ظفر بقوم من بنى حنيفة فيهم مجاعة بن مرارة بن سلمى فقتلهم | ثم التقى الناس فكان أو من لقيهم الرجال بن عنفوة فقتله الله، واستشهد وجوه الناس وقراء القرآن | ثم أن المسلمين فاءوا وثابوا فأنزل الله عليهم نصره وهزم أهل اليمامة فأتبعوهم يقتلونهم قتلا ذريعا | وقتل الله مسيلمة فى الحديقة,"W002, W012, W024, W026",False
B021,baladhuri,al-Balādhurī,بنو أسد,Banū Asad,بزاخة,Buzākha,najd,27.5,43.5,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,طليحة بن خويلد,Ṭulayḥa ibn Khuwaylid,بزاخة,Buzākha,0.95,"Battle against false prophet Ṭulayḥa at Buzākha. ʿUyayna ibn Ḥiṣn captured, Ṭulayḥa fled and later converted to Islam.",وأمر خالدا أن يصمد لطليحة بن خويلد الأسدى، وكان قد أدعى النبوة وهو يومئذ ببزاخة | ثم التقى المسلمون وعدوهم واقتتلوا قتالا شديدا | فانهزم الناس وظهر المسلمون وأسر عيينة بن حصن | وهرب طليحة بن خويلد فدخل خباء له فاغتسل وخرج فركب فرسه وأهل بعمرة ثم مضى إلى مكة ثم أتى المدينة مسلما,,False
B022,baladhuri,al-Balādhurī,بنو فزارة,Banū Fazāra,بزاخة,Buzākha,najd,27.5,43.5,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,عيينة بن حصن,ʿUyayna ibn Ḥiṣn,بزاخة,Buzākha,0.9,"Banū Fazāra fought alongside Ṭulayḥa at Buzākha under ʿUyayna ibn Ḥiṣn with 700 men. After defeat, ʿUyayna was captured but pardoned by Abū Bakr.",وكان عيينة بن حصن ابن حذيفة بن بدر مع طلحة فى سبعمائة من بنى فزارة | فلما رأى سيوف المسلمين قد استحملت المشركين | يا بنى فزارة هذا كذاب وولى عن عسكره | فانهزم الناس وظهر المسلمون وأسر عيينة بن حصن فقدم به المدينة فحقن أبو بكر دمه وخلى سبيله,,False
B023,baladhuri,al-Balādhurī,بنو عامر بن صعصعة,Banū ʿĀmir ibn Ṣaʿṣaʿa,نجد,Najd,najd,25.0,45.0,12,SUBMISSION,هشام بن العاصي,Hishām ibn al-ʿĀṣī,,,,,0.85,"Banū ʿĀmir ibn Ṣaʿṣaʿa submitted peacefully to Hishām ibn al-ʿĀṣī without fighting, showing Islam and performing adhān.",وبعث خالد بن الوليد هشام بن العاصي بن وائل السهمي وأخا عمرو بن العاصي... إلى بنى عامر بن صعصعة | فلم يقاتلوه وأظهروا الإسلام والأذان فانصرف عنهم,,False
B024,baladhuri,al-Balādhurī,بنو سليم,Banū Sulaym,جو قراقر,Jaww Qarāqir,najd,25.5,44.5,12,SUBJUGATION,خالد بن الوليد,Khālid ibn al-Walīd,أبو شجرة عمرو بن عبد العزى,Abū Shajara ʿAmr ibn ʿAbd al-ʿUzzā,جو قراقر,Jaww Qarāqir,0.9,"Banū Sulaym fought Khālid at Jaww Qarāqir under Abū Shajara. After defeat, their leader converted and later met ʿUmar. Khālid burned apostates after this battle.",ثم أتى خالد جو قراقر، ويقال أتى النقرة وكان هناك جمع لبنى سليم عليهم أبو شجرة عمرو بن عبد العزى السلمى | فقاتلوه فاستشهد رجل من المسلمين ثم فض الله جمع المشركين | وجعل خالد يومئذ يحرق المرتدين | وأسلم أبو شجرة فقدم على عمر,,False
B025,baladhuri,al-Balādhurī,بنو تميم,Banū Tamīm,البطاح والبعوضة,al-Biṭāḥ wa-l-Baʿūḍa,najd,26.0,44.0,11,SUBJUGATION,خالد,Khālid,,,البطاح والبعوضة,al-Biṭāḥ wa-l-Baʿūḍa,0.95,"Khālid's campaign against Banū Tamīm at al-Biṭāḥ wa-l-Baʿūḍa, resulting in the killing of Mālik ibn Nuwayra",ثم سار خالد إلى سن بالبطاح والبعوضة من بنى تميم فقاتلوه ففض جمعهم وقتل مالك بن نويرة,,False
B026,baladhuri,al-Balādhurī,بنو حنظلة,Banū Ḥanẓala,البطاح والبعوضة,al-Biṭāḥ wa-l-Baʿūḍa,najd,26.0,44.0,11,SUBJUGATION,خالد,Khālid,مالك بن نويرة,Mālik ibn Nuwayra,البطاح والبعوضة,al-Biṭāḥ wa-l-Baʿūḍa,0.9,"Mālik ibn Nuwayra, tax collector for Banū Ḥanẓala, withheld zakāt after Prophet's death and was executed by Khālid's forces",وقتل مالك بن نويرة أخا متمم بن نويرة وكان مالك عاملا للنبي (صلى الله عليه وسلم) على صدقات بنى حنظلة، فلما قبض (صلى الله عليه وسلم) خلى ما كان فى يده من الفرائض | فاقتتلوا وأسره وجماعة معه فأتى بهم خالدا فأمر بهم فضربت أعناقهم,,False
B027,baladhuri,al-Balādhurī,بنو تميم,Banū Tamīm,الجزيرة العربية,Arabian Peninsula,arabia,24.0,45.0,11,MIXED,خالد,Khālid,سجاح بنت أوس,Sajāḥ bint Aws,,,0.85,"Sajāḥ, false prophetess from Banū Tamīm, allied with Musaylima before eventually converting back to Islam",وتنبأت أم صادر سجاح بنت أوس بن أسامة بن العنبر بن يربوع ابن حنظلة بن مالك بن زيد مناة بن تميم | وتكهنت فأتبعها قوم من بنى تميم وقوم من أخوالها بنى تغلب | فأتت مسيلمة الكذاب وهو بحجر فتزوجته وجعلت دينها ودينه واحدا,,False
B028,baladhuri,al-Balādhurī,خولان,Khawlān,اليمن,al-Yaman,yaman,15.35,44.2,11,SUBJUGATION,يعلى بن منية,Yaʿlā ibn Muniya,,,,,0.9,Khawlān tribe in Yemen apostatized and were defeated by Yaʿlā ibn Muniya with captives and booty taken,وارتدت خولان باليمن فوجه أبو بكر إليهم يعلى بن منية | نظفر بهم وأصاب منهم غنيمة وسبابا,,False
B029,baladhuri,al-Balādhurī,كندة,Kinda,حضرموت,Ḥaḍramawt,hadramawt,15.8,48.5,11,SUBJUGATION,زياد بن لبيد والمهاجر بن أبى أمية,Ziyād ibn Labīd and al-Muhājir ibn Abī Umayya,الأشعث بن قيس,al-Ashʿath ibn Qays,النجير,al-Nujayr,0.95,"Major Kinda rebellion led by al-Ashʿath ibn Qays, besieged at al-Nujayr fortress before surrendering",فانتقضت عليه كندة كلها إلا السكون | فاجتمعت عظماء كندة إلى الأشعث بن قيس | ففضا جمعه وأوقعا بأصحابه فقتلا منهم مقتلة عظيمة ثم انهم لجأوا إلى النجير | فحصرهم المسلمون حتى جهدوا,"T046, T050, B010, W034, W035, W043, W046, W047, W048",False
B030,baladhuri,al-Balādhurī,بنو وليعة,Banū Walīʿa,حضرموت,Ḥaḍramawt,hadramawt,15.95,48.78,11,SUBJUGATION,زياد بن لبيد,Ziyād ibn Labīd,,,,,0.9,"Banū Walīʿa, who had delegated to the Prophet, apostatized and were attacked in a night raid by Ziyād ibn Labīd",وجمع له بنو عمرو بن معاوية بن الحارث الكندي فبيتهم فيمن معه من المسلمين فقتل منهم بشرا فيهم مخوس ومشرح وجمد وأبضعة بنو معدى كرب بن وليعة | وكانوا وفدوا على النبي (صلى الله عليه وسلم) ثم ارتدوا,,False
B031,baladhuri,al-Balādhurī,عنس,ʿAns,اليمن,al-Yaman,yaman,15.35,44.21,11,SUBJUGATION,قيس بن هبيرة المرادي وفيروز بن الديلمي,Qays ibn Hubayra al-Murādī and Fayrūz ibn al-Daylamī,الأسود العنسي,al-Aswad al-ʿAnsī,صنعاء,Ṣanʿāʾ,0.95,ʿAns tribe followed the false prophet al-Aswad al-ʿAnsī who was assassinated by Muslim agents in Ṣanʿāʾ,كان الأسود بن كعب بن عوف العنسي قد تكهن وادعى النبوة فاتبعه عنس | فدخلوا عليه فى السحر وهو سكران نائم فذبحه قيس ذبحا | ووضعوا فى بقية أصحاب العنسي السيف فلم ينجح إلا من أسلم منهم,,False
W002,waqidi,al-Wāqidī,بنو حنيفة,Banū Ḥanīfa,اليمامة,al-Yamāma,yamama,24.0,46.7,11,SUBJUGATION,,,مسيلمة الكذاب,Musaylima al-Kadhdhāb,,,0.85,Musaylima's rebellion with Banū Ḥanīfa in al-Yamāma is clearly identified as an active threat requiring military subjugation. The text indicates armed resistance ('بالقنا والمهند') but this excerpt covers the initial threat assessment rather than the actual campaign resolution.,وعظم المصائب علينا أن مسيلمة الكذاب خرج بأرض اليمامة برعد وبرق | وقد تعلمون أنه كان يدعي النبوة في حياة نبينا صلى الله عليه وآله وسلم | وأرعد كذاب اليمامة جهده وأكلب فينا باللسان وباليد | وأمسى مسيلم في اليمامة غالبا على الناس طرا بالقنا والمهند,"B003, B020",True
W003,waqidi,al-Wāqidī,بنو أسد,Banū Asad,نجد,Najd,najd,24.5,45.5,11,SUBJUGATION,,,طليحة بن خويلد الأسدي,Ṭulayḥa ibn Khuwaylid al-Asadī,,,0.8,"Ṭulayḥa ibn Khuwaylid's false prophecy claim with Banū Asad in Najd is identified as requiring military action. The text presents this as part of the initial threat assessment during the succession crisis, indicating the scope of rebellions that would need to be addressed through armed campaigns.",والآن قد بلغني أن طليحة بن خويلد الأسدي أيضا قد ادعى النبوة ببلاد نجد | وداناه فيما قال غير مقصر أخو الجهل حقا طلحة بن خويلد,,False
W004,waqidi,al-Wāqidī,بنو أسد,Banū Asad,أرض بني أسد,Arḍ Banī Asad,najd,27.5,41.5,11,SUBJUGATION,,,طليحة بن خويلد الأسدي,Ṭulayḥa ibn Khuwaylid al-Asadī,,,0.95,Ṭulayḥa claimed prophethood among Banū Asad; text indicates future military campaigns planned against them,فارتدت بنو أسد ورأسوا على أنفسهم طليحة بن خويلد الأسدي، وهو الذي ادعى النبوة في أرض بني أسد,,False
W005,waqidi,al-Wāqidī,فزارة,Fazāra,نجد,Najd,najd,27.5,41.5,11,SUBJUGATION,,,عيينة بن حصن الفزاري,ʿUyayna ibn Ḥiṣn al-Fazārī,,,0.9,Fazāra tribe apostatized under ʿUyayna ibn Ḥiṣn's leadership,وارتدت فزارة ورأسوا عليهم عيينة بن حصن الفزاري,,False
W006,waqidi,al-Wāqidī,بنو عامر,Banū ʿĀmir,نجد,Najd,najd,25.0,44.0,11,SUBJUGATION,,,قرة بن سلمة القشيري,Qurra ibn Salama al-Qushayrī,,,0.9,Banū ʿĀmir and Ghaṭafān apostatized together under Qurra's leadership,وارتدت بنو عامر وغطفان، ورأسوا على أنفسهم قرة بن سلمة القشيري,,False
